1 3 2 3 14 2 15 21 18
2 3 2 3 14 18 21 17 1
3 3 2 3 14 15 6 16 21
4 3 2 3 14 21 16 8 17
5 3 2 2 16 2 14 22 18
6 3 2 2 16 18 22 13 1
7 3 2 2 16 14 4 12 22
8 3 2 2 16 22 12 3 13
9 3 2 3 18 5 11 23 10
10 3 2 3 18 10 23 9 7
11 3 2 3 18 11 4 12 23
12 3 2 3 18 23 12 3 9
13 3 2 1 20 6 20 24 16
14 3 2 1 20 16 24 19 8
15 3 2 1 20 20 5 10 24
16 3 2 1 20 24 10 7 19
17 3 2 3 22 2 15 25 14
18 3 2 3 22 14 25 11 4
19 3 2 3 22 15 6 20 25
20 3 2 3 22 25 20 5 11
21 3 2 3 24 8 17 26 19
22 3 2 3 24 19 26 9 7
23 3 2 3 24 17 1 13 26
24 3 2 3 24 26 13 3 9
